id,gastoseguros,ingresoenmiles,educacion,educ
18,934,167.327,1,Primaria o menos
39,5111,1166.043,3,Universitaria
155,1801,245.441,2,Secundaria
223,1201,274.958,1,Primaria o menos
308,765,257.439,1,Primaria o menos
394,1041,368.093,1,Primaria o menos
395,685,210.617,1,Primaria o menos
420,967,117.403,1,Primaria o menos
480,1746,826.545,1,Primaria o menos
521,1334,648.81,1,Primaria o menos
582,2393,1160.068,1,Primaria o menos
629,1868,950.398,1,Primaria o menos
694,1636,821.761,1,Primaria o menos
696,1557,517.916,1,Primaria o menos
715,1077,317.247,1,Primaria o menos
716,712,261.397,1,Primaria o menos
722,3530,783.789,2,Secundaria
723,2900,1468.487,1,Primaria o menos
731,531,126.243,1,Primaria o menos
827,1427,111.334,2,Secundaria
845,5111,1090.892,3,Universitaria
850,4181,1022.354,2,Secundaria
858,1703,206.55,2,Secundaria
860,819,291.007,1,Primaria o menos
880,1076,506.505,1,Primaria o menos
1073,2568,525.13,2,Secundaria
1087,1723,705.463,1,Primaria o menos
1088,845,364.05,1,Primaria o menos
1094,587,122.07,1,Primaria o menos
1119,1774,267.302,2,Secundaria
1125,6111,1885.932,2,Secundaria
1166,712,156,1,Primaria o menos
1182,712,97.737,1,Primaria o menos
1188,836,283.472,1,Primaria o menos
1257,747,261.172,1,Primaria o menos
1328,1901,908.473,1,Primaria o menos
1329,3100,748.218,2,Secundaria
1338,1637,758.264,1,Primaria o menos
1346,2124,399.506,2,Secundaria
1411,1005,297.15,1,Primaria o menos
1476,3617,813.474,2,Secundaria
1491,1713,774.458,1,Primaria o menos
1494,2829,621.728,2,Secundaria
1714,854,370.968,1,Primaria o menos
1746,6311,1902.082,2,Secundaria
1821,6268,1400.02,3,Universitaria
1842,1831,144.126,2,Secundaria
1859,1005,387.17,1,Primaria o menos
1931,623,178.182,1,Primaria o menos
2025,7495,2451.965,2,Secundaria
2099,4609,1231.457,2,Secundaria
2109,774,298.311,1,Primaria o menos
2121,1205,597.523,1,Primaria o menos
2136,1692,226.659,2,Secundaria
2156,1041,352.334,1,Primaria o menos
2157,3628,928.169,2,Secundaria
2179,1810,300.303,2,Secundaria
2203,1005,356.916,1,Primaria o menos
2222,3098,1613.291,1,Primaria o menos
2249,732,196.586,1,Primaria o menos
2292,1578,136.394,2,Secundaria
2368,2477,483.412,2,Secundaria
2441,5735,1719.427,2,Secundaria
2474,970,311.072,1,Primaria o menos
2476,1512,810.521,1,Primaria o menos
2505,641,200.603,1,Primaria o menos
2564,36338,8076.482,3,Universitaria
2592,878,380.047,1,Primaria o menos
2619,596,195.667,1,Primaria o menos
2632,1560,174.527,2,Secundaria
2694,4521,2651.108,1,Primaria o menos
2760,1712,209.639,2,Secundaria
2794,1174,540.487,1,Primaria o menos
2965,1536,789.55,1,Primaria o menos
2975,1801,259.666,2,Secundaria
2985,1367,526.789,1,Primaria o menos
3013,2859,613.846,2,Secundaria
3037,1474,121.086,2,Secundaria
3271,1726,701.958,1,Primaria o menos
3276,756,279.007,1,Primaria o menos
3311,1049,348.381,1,Primaria o menos
3317,862,333.022,1,Primaria o menos
3318,1119,331.008,1,Primaria o menos
3364,1335,408.9,1,Primaria o menos
3496,5111,1140.628,3,Universitaria
3545,4190,1083.068,2,Secundaria
3552,712,226.734,1,Primaria o menos
3587,2332,1059.767,1,Primaria o menos
3588,6483,2055.553,2,Secundaria
3615,606,182.545,1,Primaria o menos
3630,2051,310.398,2,Secundaria
3648,646,125.146,3,Universitaria
3690,1112,326.383,1,Primaria o menos
3699,698,184.707,1,Primaria o menos
3757,1263,524.939,1,Primaria o menos
3761,801,316.705,1,Primaria o menos
3830,961,370.716,1,Primaria o menos
3845,1201,570.413,1,Primaria o menos
3849,1842,869.252,1,Primaria o menos
3894,6827,1497.458,3,Universitaria
3970,1050,257.493,1,Primaria o menos
3984,1255,326.526,1,Primaria o menos
4035,1121,535.401,1,Primaria o menos
4043,1097,253.045,1,Primaria o menos
4058,1135,312.334,1,Primaria o menos
4096,712,251.732,1,Primaria o menos
4104,1176,587.216,1,Primaria o menos
4119,756,288.296,1,Primaria o menos
4124,658,140.377,1,Primaria o menos
4151,1673,726.281,1,Primaria o menos
4164,712,140.917,1,Primaria o menos
4199,1130,392.851,1,Primaria o menos
4200,3390,758.834,2,Secundaria
4284,2028,1159.448,1,Primaria o menos
4352,28313,6207.353,3,Universitaria
4359,5170,1101.773,3,Universitaria
4364,1174,250.419,1,Primaria o menos
4389,1176,523.663,1,Primaria o menos
4500,779,231.456,1,Primaria o menos
4513,1246,507.293,1,Primaria o menos
4521,6769,2156.654,2,Secundaria
4533,947,428.078,1,Primaria o menos
4550,711,104.328,1,Primaria o menos
4551,694,100,1,Primaria o menos
4560,2068,496.879,3,Universitaria
4630,2246,426.467,2,Secundaria
4637,905,394.633,1,Primaria o menos
4694,2780,1425.728,1,Primaria o menos
4820,712,278.272,1,Primaria o menos
4836,5643,1221.472,3,Universitaria
4862,801,253.655,1,Primaria o menos
4958,1219,471.323,1,Primaria o menos
4981,1712,110.833,2,Secundaria
5038,2566,487.17,2,Secundaria
5046,13520,2985.289,3,Universitaria
5142,2358,460.131,2,Secundaria
5144,765,297.118,1,Primaria o menos
5177,12706,2833.686,3,Universitaria
5224,1276,622.236,1,Primaria o menos
5267,1071,443.165,1,Primaria o menos
5355,730,198.075,1,Primaria o menos
5367,1641,195.586,2,Secundaria
5372,862,378.842,1,Primaria o menos
5639,1504,800.77,1,Primaria o menos
5652,5111,1064.481,3,Universitaria
5666,1751,676.853,1,Primaria o menos
