gastoseguros,casapropia,escolaridad,ingresoenmiles
6561,0,17,5572.47
87551,1,15,7381.373
77581,1,7,2296.365
40365,1,15,4309.057
5561,0,8,8113.639
685,0,15,2013.761
61908,1,11,2697.521
139871,1,9,2213.106
38775,1,11,1459.693
43828,1,6,1576.806
6980,1,3,442.37
55537,1,13,3740.793
31732,1,5,1031.241
801,0,17,8274.131
1060,0,17,5387.079
32669,1,16,2136.766
10405,0,16,9833.497
489,0,16,2322.4
34652,1,5,2003.427
24299,1,6,1510.044
28398,1,11,2231.838
2043,0,16,3300.824
69190,1,15,3880.051
204484,1,16,1972.445
445,0,17,5324.352
2046,0,16,5581.24
1577,0,15,3909.093
1486,0,14,4130.524
534,0,17,7941.069
83754,1,17,5060.182
13787,1,9,747.763
47219,1,15,3020.805
56181,1,15,1409.491
95707,1,20,2450.594
43940,1,17,1986.527
26351,1,15,1723.076
146150,1,15,5141.871
202,0,16,2994.26
43416,1,16,2201.434
55615,1,15,2613.496
27507,1,17,1667.07
47067,1,11,5846.684
20933,0,17,10466.91
7299,0,11,7881.058
54898,1,16,5359.879
4359,0,6,3781.902
19169,0,17,8855.244
208771,1,16,18973.49
97733,1,15,5288.704
34620,1,16,4034.357
7759,0,16,12718.53
4058,0,14,16557.05
46782,1,16,4685.759
